Age;Income_Level;Employment_Status;Contribution_Years;Interest_Rate;Inflation_Rate;Stock_Index;Bond_Yield;Market_Volatility;Fund_Size;Contribution_Amount;Fund_Return_Rate;Year;Month Number;Month;Date;Pension_Price;Pension_Category;Risk_Tolerance
47;127625;Employed;18;8.26;2.93;7242.74;4.41;38.1;149232.48;2911.58;3.34;2005;2;febrero;feb-05;8.583.905.404;Moderate_Value;Medium
60;143828;Unemployed;3;4.83;7.21;4624.6;2.78;18.56;355708.91;2098.78;5.17;2005;6;junio;jun-05;1.199.196.429;Low_Value;Low
38;59821;Unemployed;10;8.79;7.65;14167.78;2.2;35.44;291108.3;2402.7;3.76;2005;5;mayo;may-05;5.207.804.411;Moderate_Value;Low
57;32391;Employed;22;5.33;6.63;8837.3;3.17;29.12;179970.25;3502;8.42;2005;9;septiembre;sep-05;1.182.095.557;High_Value;Low
55;142143;Employed;27;8.27;3.88;9202.34;2.61;28.34;318452.53;2982.16;9.29;2005;6;junio;jun-05;1.388.275.827;High_Value;High
44;108672;Employed;28;3.24;3.22;11371.29;4.22;18.24;248421.25;3560.81;3.33;2005;6;junio;jun-05;1.541.100.809;High_Value;Medium
47;23185;Unemployed;3;5.25;7.11;2343.37;1.17;19.14;475070.28;596.37;9.18;2005;4;abril;abr-05;1.499.699.468;Low_Value;High
26;137420;Employed;32;9.55;6.35;5757.97;1.62;19.51;360087.36;593.15;8.25;2005;5;mayo;may-05;4.266.536.457;Low_Value;High
41;68533;Unemployed;28;9.54;7.57;13258.21;5.1;26.61;465734.54;3296.38;8.96;2005;3;marzo;mar-05;1.452.264.634;High_Value;Medium
59;130244;Employed;17;9.45;5.45;13967.72;1.07;37.38;178700.79;3037.16;3.46;2005;12;diciembre;dic-05;9.186.729.477;Moderate_Value;Low
33;115833;Employed;25;6.66;5.92;11778.12;4.59;12.66;470574.92;4686.42;8.71;2005;9;septiembre;sep-05;1.943.892.216;High_Value;High
58;69240;Employed;9;6.96;7.55;11406.97;5.67;30.12;249871.82;2364.07;9.61;2005;11;noviembre;nov-05;5.428.612.334;Moderate_Value;High
59;91835;Employed;2;8.55;6.29;10071.2;1.64;26.68;87324.14;1966.43;11.09;2005;8;agosto;ago-05;2.322.168.079;Low_Value;Low
32;118053;Employed;29;4.41;6.25;4606.58;2.15;37.88;363555.48;579.19;4.73;2005;8;agosto;ago-05;2.912.665.404;Low_Value;Medium
41;134434;Unemployed;31;6.61;5.04;7777.8;3.33;24.88;94538.19;1573.78;4.54;2005;8;agosto;ago-05;678.165.406;Moderate_Value;Low
32;124135;Employed;27;6.78;3.14;8591.4;5.68;20.94;396968.03;1113.55;8.06;2005;6;junio;jun-05;5.665.858.671;Moderate_Value;Low
39;42347;Employed;29;5.7;6.33;3416.49;5.52;26.29;466139.46;1780.7;4.51;2005;8;agosto;ago-05;8.522.758.259;Moderate_Value;Medium
48;142245;Unemployed;19;4.19;5.54;4172.86;4.63;35.16;165364.85;1251.98;7.12;2005;11;noviembre;nov-05;4.563.255.075;Moderate_Value;Medium
59;43039;Unemployed;14;4.41;3.67;6566.35;5.42;32.63;465978.93;3917.37;8.88;2005;6;junio;jun-05;9.432.491.004;Moderate_Value;High
35;109262;Unemployed;21;8.1;3.59;11180.54;4.68;15.77;390245.62;656.38;5.74;2005;8;agosto;ago-05;3.949.339.475;Low_Value;Low
41;115941;Employed;1;9.33;3.03;6234.92;2.21;12.11;98690.91;2556.26;5.29;2005;6;junio;jun-05;214.345.811;Low_Value;Low
49;87687;Unemployed;11;4.56;2.45;2546.33;2.44;38.71;100308.04;670.43;3.53;2005;4;abril;abr-05;2.363.726.081;Low_Value;High
48;55065;Unemployed;27;3.48;3.49;11107.19;4.33;35.7;183574.89;3888.26;6.58;2005;1;enero;ene-05;1.654.744.683;High_Value;Medium
45;43082;Employed;26;8.65;4.46;9652.52;2.43;33.89;32037.09;1813.87;9.83;2005;1;enero;ene-05;889.426.262;Moderate_Value;Low
41;126566;Employed;29;3.51;3.54;2168.45;3.18;32.82;488599.68;3563.61;8.11;2005;7;julio;jul-05;1.579.039.306;High_Value;High
37;70189;Employed;12;9.72;6.97;9636.92;2.63;30.03;63481.03;2434.17;3.01;2005;5;mayo;may-05;5.246.056.975;Moderate_Value;Low
56;116696;Employed;14;4.88;7.3;3948.8;3.8;22.63;472881.43;4293.09;9.76;2005;8;agosto;ago-05;1.007.411.423;High_Value;Medium
33;93338;Unemployed;32;7.69;5.26;3855.63;1.47;23.88;417989.94;2707.63;9.31;2005;10;octubre;oct-05;1.424.385.676;High_Value;Low
28;107637;Unemployed;24;5.73;2.23;6604.94;3.74;33.91;433927.65;2884.16;7.22;2005;5;mayo;may-05;1.109.751.992;High_Value;Low
42;56288;Employed;22;5.96;7.53;7605.33;4.3;37.78;40779.69;4116.37;4.18;2005;8;agosto;ago-05;1.387.753.203;High_Value;Low
62;65765;Employed;6;8.38;6.8;2493.35;2.37;12.62;218144.41;900.42;4.39;2005;12;diciembre;dic-05;1.476.081.407;Low_Value;High
47;90480;Employed;34;7.91;4.59;8110.19;1.67;20.56;481080.13;4081.91;6.68;2005;10;octubre;oct-05;2.239.415.138;High_Value;Medium
50;113140;Employed;26;7.07;6.01;14161.54;4.97;10.31;371653.43;3880.92;7.25;2005;2;febrero;feb-05;1.599.112.075;High_Value;High
43;110956;Unemployed;26;7.16;7;8988.18;1.97;23.26;188143.33;919.57;9.36;2005;3;marzo;mar-05;5.391.643.114;Moderate_Value;High
64;128101;Employed;25;9.77;4.74;9282.51;4.92;11.77;443776.37;2661.71;6.92;2005;3;marzo;mar-05;1.182.273.639;High_Value;Medium
32;21573;Unemployed;2;8.89;3.31;6562.67;2.77;32.14;30299.36;4290.34;6.32;2005;12;diciembre;dic-05;1.743.384.215;Low_Value;Low
27;72299;Employed;3;4.28;7.47;4865.42;1.13;38.76;365143.84;1402.07;10.41;2005;9;septiembre;sep-05;1.573.866.697;Low_Value;Medium
31;130497;Employed;28;4.51;5.77;7282.7;5.75;29.23;239881.93;2079.77;4.84;2005;9;septiembre;sep-05;8.619.004.522;Moderate_Value;High
27;23223;Unemployed;1;3.14;2.12;2111.74;3.31;17.88;93241.09;592.29;7.57;2005;11;noviembre;nov-05;1.861.151.862;Low_Value;Low
30;37864;Unemployed;9;6.07;7.84;13986.47;5.62;37.26;221496.87;2349.38;9.78;2005;8;agosto;ago-05;464.653.796;Moderate_Value;High
63;95019;Unemployed;25;6.84;2.03;4786.93;1.18;38.37;120146.1;1606.72;8.49;2005;5;mayo;may-05;7.672.185.486;Moderate_Value;High
59;124181;Employed;8;8.67;3.31;12811.31;4.44;14.93;468478.34;789.01;7.83;2005;2;febrero;feb-05;2.695.460.785;Low_Value;Medium
46;119158;Unemployed;20;5.63;4.75;12939.04;2.03;21.14;470927.37;4566.55;10.41;2005;11;noviembre;nov-05;1.491.927.724;High_Value;Medium
57;133993;Unemployed;6;3.51;7.29;3889.06;3.57;20.78;394494.81;1430.75;9.59;2005;1;enero;ene-05;200.107.266;Low_Value;High
39;107630;Unemployed;11;9.31;2.62;4841.04;3.7;23.43;216045.57;3737.06;11.91;2005;8;agosto;ago-05;8.053.576.176;Moderate_Value;Low
53;72158;Unemployed;1;8.27;7.17;4796.06;4.29;20.48;62641.48;3747.75;8.01;2005;6;junio;jun-05;166.014.336;Low_Value;High
56;102628;Employed;28;4.94;4.94;7400.61;4.31;14.73;346321.56;4260.42;4.3;2005;10;octubre;oct-05;1.836.825.563;High_Value;Medium
45;109856;Unemployed;15;6.19;2.38;4754.25;4.13;14.09;419194.94;3684.8;10.81;2005;8;agosto;ago-05;9.522.131.998;Moderate_Value;Medium
41;60584;Employed;13;3.64;2.25;9847.59;3.17;33.13;248987.98;3784.02;5.29;2005;11;noviembre;nov-05;8.347.563.684;Moderate_Value;Low
54;107738;Employed;18;4.14;6.37;7939.14;3.01;10.18;483708.46;3782.63;11.31;2005;10;octubre;oct-05;1.127.722.415;High_Value;Medium
37;63452;Employed;27;4.09;3.76;4409.4;5.83;19.16;415414.7;3389;9.97;2005;11;noviembre;nov-05;1.448.520.881;High_Value;High
36;44660;Unemployed;32;7.44;2.62;5810.26;3.43;28.59;321201.95;2325.42;6.94;2005;9;septiembre;sep-05;1.194.264.892;High_Value;Low
44;42507;Employed;28;4.18;3.94;7453.88;1.18;17.5;336421.83;3558.87;3.16;2005;4;abril;abr-05;1.595.957.094;High_Value;Low
37;130563;Employed;20;3.05;4.86;14266.68;3.2;20.03;56541.97;2535.92;5.99;2005;9;septiembre;sep-05;8.935.182.125;Moderate_Value;High
59;46866;Unemployed;16;7.6;2.74;3401.4;3.42;26.27;130354.98;4981.28;4.02;2005;5;mayo;may-05;1.274.571.896;High_Value;Low
62;148575;Unemployed;31;9.26;7.98;3288.14;2.16;26.56;142081.84;3960.06;8.46;2005;3;marzo;mar-05;1.970.033.132;High_Value;Low
25;82054;Unemployed;24;3.62;6.63;5004.47;2.13;36.86;102657.64;3474.15;11.21;2005;9;septiembre;sep-05;1.353.338.434;High_Value;Medium
61;47987;Employed;21;9.52;5.85;4727.3;5.06;14.97;348090.08;4384.7;4.42;2005;7;julio;jul-05;1.446.652.094;High_Value;Medium
59;126948;Employed;32;4.2;7.02;12858.21;3.5;14.02;214649.8;846.46;7.32;2005;12;diciembre;dic-05;4.262.259.023;Low_Value;Medium
55;102273;Employed;23;9.31;7.26;12086.06;3.78;14.05;58087.47;1068.32;10.47;2005;2;febrero;feb-05;5.944.092.936;Moderate_Value;High
47;130896;Employed;7;9.93;7.27;3800.62;4.53;24.01;148411.19;3292.51;10.07;2005;6;junio;jun-05;4.455.074.325;Low_Value;Low
51;125148;Unemployed;11;8.81;4.5;8005;3.12;17.44;474850.22;4339.6;5.91;2005;1;enero;ene-05;8.012.380.669;Moderate_Value;Low
36;146352;Employed;10;8.23;6.47;14796.72;4.7;11.28;279665.42;649.57;5.82;2005;4;abril;abr-05;1.900.708.333;Low_Value;Medium
52;23770;Unemployed;11;9.28;6.76;7074.94;3.87;35.76;153975.8;4498.07;9.98;2005;9;septiembre;sep-05;8.865.706.362;Moderate_Value;High
28;91123;Employed;26;4.99;2.19;13988.92;3.51;21.25;18921.75;1952.62;9.64;2005;10;octubre;oct-05;8.571.399.572;Moderate_Value;High
60;45785;Unemployed;30;5.81;4.72;14369;1.32;20.08;30284.45;1271.36;11.57;2005;10;octubre;oct-05;7.051.293.216;Moderate_Value;Low
34;117400;Employed;27;5.09;6.73;10698.69;1.63;12.57;108490.21;4332.42;8.39;2005;1;enero;ene-05;1.790.438.532;High_Value;Medium
49;116847;Employed;20;5.99;7.91;3670.24;1.12;12.57;137604.07;3684.54;8.35;2005;9;septiembre;sep-05;118.183.948;High_Value;High
57;67201;Employed;23;8.51;2.53;11259.25;1.55;19.67;394498.6;1463.61;7.9;2005;9;septiembre;sep-05;6.467.901.367;Moderate_Value;Medium
31;117393;Employed;28;3.51;2.81;10878.8;4.48;28.9;97809.4;3044.79;10.88;2005;3;marzo;mar-05;1.384.230.412;High_Value;Low
42;124883;Unemployed;27;5.02;2.81;5279.1;4.25;31.78;158797.33;3071.83;10.21;2005;4;abril;abr-05;1.443.603.288;High_Value;Medium
45;47014;Unemployed;32;7.09;5.01;12227.69;4.42;27.97;307754.81;3055.71;3.56;2005;10;octubre;oct-05;1.519.590.219;High_Value;High
46;109422;Employed;2;9.28;2.3;6548.87;3.06;23.32;21446.89;3131.41;9.5;2005;7;julio;jul-05;3.045.936.676;Low_Value;Low
55;90325;Employed;2;4.57;2.05;11350.65;2.18;21.45;87882.44;1007.82;3.07;2005;3;marzo;mar-05;7.719.947.937;Low_Value;High
46;58941;Unemployed;18;7.38;4.37;6929.88;3.94;15.07;118194.1;540.93;3.04;2005;2;febrero;feb-05;1.602.458.334;Low_Value;Medium
42;30269;Unemployed;23;3.24;2.01;12269.65;3.79;18.74;374662.46;722.53;6.33;2005;11;noviembre;nov-05;290.901.184;Low_Value;Low
53;108197;Unemployed;14;8.63;3.35;6100.96;1.11;17.14;124106.06;4604.17;10.9;2005;3;marzo;mar-05;1.124.005.197;High_Value;High
33;81797;Unemployed;22;6.86;2.41;12462.1;2.55;32.04;92575.77;566.82;10.01;2005;8;agosto;ago-05;2.316.841.634;Low_Value;Low
52;80051;Unemployed;27;4.68;2.74;9857.86;1.3;23.7;343717.96;3349.74;5.43;2005;12;diciembre;dic-05;1.477.105.162;High_Value;Low
41;145341;Unemployed;32;5.33;3.47;8353.42;1.53;24.87;150836.03;1044.72;9.7;2005;5;mayo;may-05;6.788.467.291;Moderate_Value;High
32;109749;Unemployed;3;8.77;3.58;10113.34;2.77;34.48;213855.73;2611.64;7.25;2005;9;septiembre;sep-05;3.277.317.032;Low_Value;High
52;93746;Unemployed;29;9.17;7.17;14470.43;3.84;25.19;493749.42;4090.53;3.94;2005;4;abril;abr-05;1.805.852.815;High_Value;Medium
33;147527;Employed;32;6.42;5.1;8328.13;5.5;34.84;228186.42;968.05;3.1;2005;11;noviembre;nov-05;4.122.447.033;Low_Value;High
27;53132;Unemployed;26;8.97;7.1;14334.02;5.87;15.25;172399.99;3694.1;5.13;2005;10;octubre;oct-05;157.640.647;High_Value;Low
38;33646;Employed;27;9.92;3.5;9781.39;3.35;17.72;340398.68;1766.94;4.75;2005;3;marzo;mar-05;8.201.859.552;Moderate_Value;Medium
26;36211;Employed;25;8.93;4.99;7923.3;3.24;14.11;53262.59;588.12;3.07;2005;10;octubre;oct-05;3.706.353.561;Low_Value;Medium
46;138069;Unemployed;28;3.9;2.41;11806.38;5.08;16.24;313778.78;2592.37;4.19;2005;5;mayo;may-05;1.132.980.205;High_Value;High
42;40642;Employed;5;9.37;4.08;13857.7;5.09;37.97;238965.76;4413.46;3.65;2005;5;mayo;may-05;4.446.410.043;Low_Value;Low
29;59128;Employed;17;9.55;4.91;12634.42;5.71;11.85;434524.68;1370.55;11.26;2005;5;mayo;may-05;4.757.597.782;Moderate_Value;Low
45;34242;Unemployed;15;4.08;3.04;3087.5;4.02;31.22;413766.05;1480.95;6.61;2005;4;abril;abr-05;4.361.093.055;Low_Value;Medium
51;145056;Unemployed;25;8.35;7.04;14449.77;3.44;17.43;101052.57;4677.18;5.01;2005;3;marzo;mar-05;1.810.680.292;High_Value;Low
58;45262;Employed;26;4.27;2.62;14346.32;2.29;10.77;394291.5;2469.85;11.42;2005;6;junio;jun-05;1.060.589.652;High_Value;High
44;23280;Employed;33;8.04;5.31;8176.57;3.23;35.68;345903.22;2241.53;7.3;2005;8;agosto;ago-05;132.400.892;High_Value;Low
35;104683;Unemployed;30;8.94;4.08;7856.66;3.43;31.3;219428.37;4355.79;4.78;2005;1;enero;ene-05;2.111.781.045;High_Value;Medium
61;107542;Unemployed;24;6.28;5.46;11498.48;4.58;25.47;342926.33;3491.41;4.87;2005;4;abril;abr-05;1.361.019.044;High_Value;Medium
48;49230;Unemployed;12;8.48;5.42;4385.25;2.11;27.69;392772.61;4362.03;11.91;2005;10;octubre;oct-05;8.936.877.588;Moderate_Value;Low
30;110638;Unemployed;28;6.36;6.6;13105.49;4.08;15.59;345989;4053.07;3.87;2005;11;noviembre;nov-05;1.785.857.147;High_Value;High
44;123176;Employed;24;7.15;6.31;13514.84;3.59;15.7;348649.37;2924.85;8.37;2005;9;septiembre;sep-05;1.150.151.274;High_Value;Low
39;130213;Employed;5;3.08;2.32;11758.69;5.56;21.96;488320.99;3371.79;6.47;2005;5;mayo;may-05;3.667.539.711;Low_Value;Medium
38;120381;Unemployed;22;8.68;6.93;14319.9;5.14;29.76;91417.23;1561.91;5.45;2005;7;julio;jul-05;5.558.452.638;Moderate_Value;High
61;140659;Employed;28;5.33;6.29;8859.55;1.16;11.4;94844.94;4029.41;4.67;2005;10;octubre;oct-05;1.728.450.128;High_Value;High
63;100729;Unemployed;12;8.51;5.5;12377.88;5.82;13.79;316856.92;4824.73;10.22;2005;6;junio;jun-05;1.004.308.461;High_Value;High
59;134082;Employed;13;9.89;7.48;7413.17;1.98;20.47;420500.92;3814.09;5.64;2005;9;septiembre;sep-05;821.241.372;Moderate_Value;High
64;30555;Unemployed;12;6.9;4.2;6996.27;2.85;34.98;301083.34;2111.92;9.24;2005;5;mayo;may-05;4.832.873.026;Moderate_Value;Medium
49;141432;Unemployed;22;3.28;3.87;10591.19;5.01;11.18;196389.73;4602.29;10.72;2005;6;junio;jun-05;163.510.466;High_Value;Low
32;24715;Employed;15;6.58;2.86;10214.67;1.26;19.11;437185.8;4678.93;5.88;2005;6;junio;jun-05;1.099.592.254;High_Value;Medium
26;80523;Employed;31;5.75;4.35;14249.87;5.71;36.37;61526.61;1995.99;10.03;2005;5;mayo;may-05;1.115.750.306;High_Value;High
27;77487;Unemployed;19;3.17;3.45;11454.19;1.14;30.39;39404.92;4103.81;8.1;2005;3;marzo;mar-05;1.213.754.506;High_Value;Medium
28;22921;Employed;28;9.28;7.64;12361.9;3.91;11.57;82850.46;2385.02;11.12;2005;1;enero;ene-05;1.070.025.129;High_Value;Low
56;80820;Employed;29;7.75;7.3;11092.84;1.49;34.82;482708.87;4448.55;8.42;2005;2;febrero;feb-05;2.042.378.552;High_Value;High
36;101573;Unemployed;5;9.54;2.73;13510.98;4.84;30.93;75055.98;4124.78;3.83;2005;11;noviembre;nov-05;3.713.006.338;Low_Value;Low
57;75305;Unemployed;24;8.13;5.3;11380.37;4.16;36.87;84050.04;2367.19;9.19;2005;5;mayo;may-05;9.613.417.974;Moderate_Value;Low
59;141915;Employed;9;4.99;6.33;9034.58;2.81;29.5;397131;1320.41;7.48;2005;1;enero;ene-05;2.224.544.657;Low_Value;Medium
29;117065;Employed;9;7.19;3.13;12586.6;5.15;17.48;120230.08;2412.18;9.86;2005;2;febrero;feb-05;4.814.702.024;Moderate_Value;Low
64;141121;Employed;13;5.16;2.01;5180.92;2.43;11.01;480536.35;1647.32;4.88;2005;8;agosto;ago-05;3.747.334.902;Low_Value;High
38;107081;Unemployed;6;8.67;2.2;3314.14;3.46;14.76;157068.59;3253.3;5.01;2005;1;enero;ene-05;3.998.817.809;Low_Value;Medium
43;91627;Employed;19;9.73;6.51;11564.31;3.03;26.68;327354.43;2896.43;5.55;2005;9;septiembre;sep-05;9.443.245.533;Moderate_Value;Medium
33;108534;Employed;24;8.72;5.16;7850.49;1.04;21.91;258949.85;2901.52;6.41;2005;7;julio;jul-05;113.785.321;High_Value;Low
54;41378;Employed;23;7.73;2.52;3162.75;5.6;27.52;97178.25;2471.77;8.96;2005;8;agosto;ago-05;1.056.401.657;High_Value;Low
45;129756;Employed;12;5.23;5.37;2783.2;3.12;27.84;312817.3;2475.21;6.4;2005;1;enero;ene-05;5.189.464.734;Moderate_Value;High
36;28712;Employed;14;8.45;2.15;5370.07;2.96;20.76;274300.98;585.13;5.72;2005;4;abril;abr-05;3.344.792.294;Low_Value;Low
46;48562;Unemployed;30;6.89;6.52;10256.9;1.39;22.59;310646.01;522.11;5.19;2005;1;enero;ene-05;3.810.417.707;Low_Value;Medium
43;54511;Employed;28;7.1;7.93;13255.43;4.03;36.7;100333.1;2366.03;10.25;2005;4;abril;abr-05;110.869.497;High_Value;Medium
35;104795;Employed;25;9.6;7.13;9702.73;3.64;26.01;366930.59;2991.22;6.98;2005;6;junio;jun-05;1.318.797.726;High_Value;Medium
37;117330;Employed;17;9.77;4.73;13711.32;4.16;33.05;388926.57;4989.71;4.92;2005;11;noviembre;nov-05;1.392.903.179;High_Value;Low
64;98588;Employed;28;7.86;2.56;5489.08;5.97;37.5;457523.85;3528.83;11.22;2005;5;mayo;may-05;172.893.115;High_Value;High
49;131342;Unemployed;10;3.7;7.55;2537.13;5.57;23.74;147490.58;2477.01;10.31;2005;1;enero;ene-05;4.715.816.121;Moderate_Value;Low
51;85298;Unemployed;11;8.18;4.31;5216.28;5.79;39.35;238919.16;2303.76;6.2;2005;11;noviembre;nov-05;5.042.541.088;Moderate_Value;Medium
47;60517;Unemployed;23;9.75;4.88;14570.14;4.81;25.76;175711.13;1151.35;3.86;2005;6;junio;jun-05;4.910.319.922;Moderate_Value;Low
26;57375;Employed;22;5.92;7.47;9136.24;4.33;16.82;150908.39;4909.41;7.26;2005;4;abril;abr-05;1.729.067.408;High_Value;High
39;126035;Employed;26;9.82;5.98;6153.72;4.79;28.65;369907.27;645.1;10.76;2005;7;julio;jul-05;43.774.843;Low_Value;Medium
51;104661;Unemployed;11;4.25;7.5;13740.11;2.49;29.5;411923.67;3871.29;8.73;2005;2;febrero;feb-05;7.218.492.055;Moderate_Value;Medium
55;109086;Unemployed;8;8.59;6.32;9922.9;5.35;28.18;493323.86;3154.93;10.09;2005;10;octubre;oct-05;4.786.542.769;Moderate_Value;High
48;37105;Employed;29;5.16;2.24;14310.85;2.67;25.32;112782.05;1369.37;9.07;2005;2;febrero;feb-05;7.560.509.985;Moderate_Value;Medium
39;37830;Unemployed;17;4.8;4.07;9234.7;2.43;14.51;471122.5;4350.34;9.34;2005;5;mayo;may-05;1.201.633.063;High_Value;Medium
52;78353;Unemployed;34;7.37;4.95;11788.42;3.92;29.56;397845.52;4461.15;8.22;2005;12;diciembre;dic-05;2.415.356.072;High_Value;Medium
29;74833;Employed;15;3.98;4.47;8681.83;5.02;10.94;219255.88;1022.41;11.16;2005;7;julio;jul-05;3.509.867.808;Low_Value;High
33;87824;Employed;29;6.81;4.45;2204.76;4.66;37.84;448521.31;992.73;5.25;2005;10;octubre;oct-05;4.937.153.354;Moderate_Value;High
56;141624;Employed;14;7.2;4.43;12972.5;5.89;39.01;286787.61;3257.35;11.38;2005;3;marzo;mar-05;8.045.811.429;Moderate_Value;Low
46;37127;Employed;22;8.04;4.26;7589.39;1.96;28.13;196349.66;3517.35;3.87;2005;10;octubre;oct-05;121.248.782;High_Value;Low
47;76360;Employed;21;9.71;5.04;11233.18;4.89;30.51;18553.4;780.95;4.91;2005;11;noviembre;nov-05;2.963.141.661;Low_Value;Medium
